Symbol,Company Name,Industry
RELIANCE,Reliance Industries,Oil Gas & Consumable Fuels
TCS,Tata Consultancy Services,Information Technology
HDFCBANK,HDFC Bank,Financial Services
ICICIBANK,ICICI Bank,Financial Services
INFY,Infosys,Information Technology
BHARTIARTL,Bharti Airtel,Telecommunication
SBIN,State Bank of India,Financial Services
LICI,Life Insurance Corporation,Financial Services
ITC,ITC,Fast Moving Consumer Goods
HINDUNILVR,Hindustan Unilever,Fast Moving Consumer Goods
LT,Larsen & Toubro,Construction
KOTAKBANK,Kotak Mahindra Bank,Financial Services
BAJFINANCE,Bajaj Finance,Financial Services
AXISBANK,Axis Bank,Financial Services
MARUTI,Maruti Suzuki India,Automobile
SUNPHARMA,Sun Pharmaceutical Industries,Healthcare
HCLTECH,HCL Technologies,Information Technology
NTPC,NTPC,Power
ULTRACEMCO,UltraTech Cement,Construction Materials
TITAN,Titan Company,Consumer Durables
ADANIENT,Adani Enterprises,Metals & Mining
ONGC,Oil & Natural Gas Corporation,Oil Gas & Consumable Fuels
BAJAJFINSV,Bajaj Finserv,Financial Services
WIPRO,Wipro,Information Technology
NESTLEIND,Nestle India,Fast Moving Consumer Goods
POWERGRID,Power Grid Corporation,Power
M&M,Mahindra & Mahindra,Automobile
JSWSTEEL,JSW Steel,Metals & Mining
TATAMOTORS,Tata Motors,Automobile
COALINDIA,Coal India,Oil Gas & Consumable Fuels
ADANIPORTS,Adani Ports and Special Economic Zone,Services
ASIANPAINT,Asian Paints,Consumer Durables
BAJAJ-AUTO,Bajaj Auto,Automobile
TATASTEEL,Tata Steel,Metals & Mining
HDFCLIFE,HDFC Life Insurance,Financial Services
SBILIFE,SBI Life Insurance,Financial Services
GRASIM,Grasim Industries,Construction Materials
TECHM,Tech Mahindra,Information Technology
INDUSINDBK,IndusInd Bank,Financial Services
HINDALCO,Hindalco Industries,Metals & Mining
DRREDDY,Dr. Reddy's Laboratories,Healthcare
CIPLA,Cipla,Healthcare
EICHERMOT,Eicher Motors,Automobile
APOLLOHOSP,Apollo Hospitals Enterprise,Healthcare
BRITANNIA,Britannia Industries,Fast Moving Consumer Goods
DIVISLAB,Divi's Laboratories,Healthcare
BPCL,Bharat Petroleum Corporation,Oil Gas & Consumable Fuels
HEROMOTOCO,Hero MotoCorp,Automobile
UPL,UPL,Chemicals
SHRIRAMFIN,Shriram Finance,Financial Services
LTIM,LTIMindtree,Information Technology
DLF,DLF,Realty
VEDL,Vedanta,Metals & Mining
GODREJCP,Godrej Consumer Products,Fast Moving Consumer Goods
PIDILITIND,Pidilite Industries,Chemicals
SIEMENS,Siemens,Capital Goods
AMBUJACEM,Ambuja Cements,Construction Materials
ADANIPOWER,Adani Power,Power
DABUR,Dabur India,Fast Moving Consumer Goods
HAVELLS,Havells India,Consumer Durables
TVSMOTOR,TVS Motor Company,Automobile
BANKBARODA,Bank of Baroda,Financial Services
BEL,Bharat Electronics,Capital Goods
INDIGO,InterGlobe Aviation,Services
GAIL,GAIL India,Oil Gas & Consumable Fuels
ICICIPRULI,ICICI Prudential Life Insurance,Financial Services
ICICIGI,ICICI Lombard General Insurance,Financial Services
PNB,Punjab National Bank,Financial Services
CANBK,Canara Bank,Financial Services
ZOMATO,Eternal (Zomato),Consumer Services
NAUKRI,Info Edge India,Consumer Services
TATAPOWER,Tata Power Company,Power
TRENT,Trent,Consumer Services
MARICO,Marico,Fast Moving Consumer Goods
COLPAL,Colgate-Palmolive India,Fast Moving Consumer Goods
LUPIN,Lupin,Healthcare
AUROPHARMA,Aurobindo Pharma,Healthcare
BOSCHLTD,Bosch,Automobile
MOTHERSON,Samvardhana Motherson International,Automobile
PIIND,PI Industries,Chemicals
SRF,SRF,Chemicals
TORNTPHARM,Torrent Pharmaceuticals,Healthcare
MUTHOOTFIN,Muthoot Finance,Financial Services
CHOLAFIN,Cholamandalam Investment & Finance,Financial Services
BALKRISIND,Balkrishna Industries,Automobile
ASHOKLEY,Ashok Leyland,Automobile
POLYCAB,Polycab India,Capital Goods
PAGEIND,Page Industries,Textiles
GODREJPROP,Godrej Properties,Realty
OBEROIRLTY,Oberoi Realty,Realty
PERSISTENT,Persistent Systems,Information Technology
COFORGE,Coforge,Information Technology
MPHASIS,Mphasis,Information Technology
INDHOTEL,Indian Hotels Company,Consumer Services
JUBLFOOD,Jubilant FoodWorks,Consumer Services
VOLTAS,Voltas,Consumer Durables
CROMPTON,Crompton Greaves Consumer Electricals,Consumer Durables
DIXON,Dixon Technologies,Consumer Durables
ABB,ABB India,Capital Goods
CUMMINSIND,Cummins India,Capital Goods
SUPREMEIND,Supreme Industries,Capital Goods
ASTRAL,Astral,Capital Goods
IRCTC,Indian Railway Catering & Tourism,Consumer Services
CONCOR,Container Corporation of India,Services
