Symbol,Company Name,Industry
RELIANCE,Reliance Industries,Oil Gas & Consumable Fuels
TCS,Tata Consultancy Services,Information Technology
HDFCBANK,HDFC Bank,Financial Services
ICICIBANK,ICICI Bank,Financial Services
INFY,Infosys,Information Technology
BHARTIARTL,Bharti Airtel,Telecommunication
SBIN,State Bank of India,Financial Services
LICI,Life Insurance Corporation,Financial Services
ITC,ITC,Fast Moving Consumer Goods
HINDUNILVR,Hindustan Unilever,Fast Moving Consumer Goods
LT,Larsen & Toubro,Construction
KOTAKBANK,Kotak Mahindra Bank,Financial Services
BAJFINANCE,Bajaj Finance,Financial Services
AXISBANK,Axis Bank,Financial Services
MARUTI,Maruti Suzuki India,Automobile
SUNPHARMA,Sun Pharmaceutical Industries,Healthcare
HCLTECH,HCL Technologies,Information Technology
NTPC,NTPC,Power
ULTRACEMCO,UltraTech Cement,Construction Materials
TITAN,Titan Company,Consumer Durables
ADANIENT,Adani Enterprises,Metals & Mining
ONGC,Oil & Natural Gas Corporation,Oil Gas & Consumable Fuels
BAJAJFINSV,Bajaj Finserv,Financial Services
WIPRO,Wipro,Information Technology
NESTLEIND,Nestle India,Fast Moving Consumer Goods
POWERGRID,Power Grid Corporation,Power
M&M,Mahindra & Mahindra,Automobile
JSWSTEEL,JSW Steel,Metals & Mining
TATAMOTORS,Tata Motors,Automobile
COALINDIA,Coal India,Oil Gas & Consumable Fuels
ADANIPORTS,Adani Ports and Special Economic Zone,Services
ASIANPAINT,Asian Paints,Consumer Durables
BAJAJ-AUTO,Bajaj Auto,Automobile
TATASTEEL,Tata Steel,Metals & Mining
HDFCLIFE,HDFC Life Insurance,Financial Services
SBILIFE,SBI Life Insurance,Financial Services
GRASIM,Grasim Industries,Construction Materials
TECHM,Tech Mahindra,Information Technology
INDUSINDBK,IndusInd Bank,Financial Services
HINDALCO,Hindalco Industries,Metals & Mining
DRREDDY,Dr. Reddy's Laboratories,Healthcare
CIPLA,Cipla,Healthcare
EICHERMOT,Eicher Motors,Automobile
APOLLOHOSP,Apollo Hospitals Enterprise,Healthcare
BRITANNIA,Britannia Industries,Fast Moving Consumer Goods
DIVISLAB,Divi's Laboratories,Healthcare
BPCL,Bharat Petroleum Corporation,Oil Gas & Consumable Fuels
HEROMOTOCO,Hero MotoCorp,Automobile
UPL,UPL,Chemicals
SHRIRAMFIN,Shriram Finance,Financial Services
LTIM,LTIMindtree,Information Technology
DLF,DLF,Realty
VEDL,Vedanta,Metals & Mining
GODREJCP,Godrej Consumer Products,Fast Moving Consumer Goods
PIDILITIND,Pidilite Industries,Chemicals
SIEMENS,Siemens,Capital Goods
AMBUJACEM,Ambuja Cements,Construction Materials
ADANIPOWER,Adani Power,Power
DABUR,Dabur India,Fast Moving Consumer Goods
HAVELLS,Havells India,Consumer Durables
TVSMOTOR,TVS Motor Company,Automobile
BANKBARODA,Bank of Baroda,Financial Services
BEL,Bharat Electronics,Capital Goods
INDIGO,InterGlobe Aviation,Services
GAIL,GAIL India,Oil Gas & Consumable Fuels
ICICIPRULI,ICICI Prudential Life Insurance,Financial Services
ICICIGI,ICICI Lombard General Insurance,Financial Services
PNB,Punjab National Bank,Financial Services
CANBK,Canara Bank,Financial Services
ZOMATO,Eternal (Zomato),Consumer Services
NAUKRI,Info Edge India,Consumer Services
TATAPOWER,Tata Power Company,Power
TRENT,Trent,Consumer Services
MARICO,Marico,Fast Moving Consumer Goods
COLPAL,Colgate-Palmolive India,Fast Moving Consumer Goods
LUPIN,Lupin,Healthcare
AUROPHARMA,Aurobindo Pharma,Healthcare
BOSCHLTD,Bosch,Automobile
MOTHERSON,Samvardhana Motherson International,Automobile
PIIND,PI Industries,Chemicals
SRF,SRF,Chemicals
TORNTPHARM,Torrent Pharmaceuticals,Healthcare
MUTHOOTFIN,Muthoot Finance,Financial Services
CHOLAFIN,Cholamandalam Investment & Finance,Financial Services
BALKRISIND,Balkrishna Industries,Automobile
ASHOKLEY,Ashok Leyland,Automobile
POLYCAB,Polycab India,Capital Goods
PAGEIND,Page Industries,Textiles
GODREJPROP,Godrej Properties,Realty
OBEROIRLTY,Oberoi Realty,Realty
PERSISTENT,Persistent Systems,Information Technology
COFORGE,Coforge,Information Technology
MPHASIS,Mphasis,Information Technology
INDHOTEL,Indian Hotels Company,Consumer Services
JUBLFOOD,Jubilant FoodWorks,Consumer Services
VOLTAS,Voltas,Consumer Durables
CROMPTON,Crompton Greaves Consumer Electricals,Consumer Durables
DIXON,Dixon Technologies,Consumer Durables
ABB,ABB India,Capital Goods
CUMMINSIND,Cummins India,Capital Goods
SUPREMEIND,Supreme Industries,Capital Goods
ASTRAL,Astral,Capital Goods
IRCTC,Indian Railway Catering & Tourism,Consumer Services
CONCOR,Container Corporation of India,Services
IEX,Indian Energy Exchange,Financial Services
LTTS,L&T Technology Services,Information Technology
BIOCON,Biocon,Healthcare
ALKEM,Alkem Laboratories,Healthcare
GLENMARK,Glenmark Pharmaceuticals,Healthcare
LAURUSLABS,Laurus Labs,Healthcare
ZYDUSLIFE,Zydus Lifesciences,Healthcare
IPCALAB,IPCA Laboratories,Healthcare
MRF,MRF,Automobile
EXIDEIND,Exide Industries,Automobile
BHARATFORG,Bharat Forge,Automobile
SONACOMS,Sona BLW Precision Forgings,Automobile
ESCORTS,Escorts Kubota,Automobile
FEDERALBNK,Federal Bank,Financial Services
IDFCFIRSTB,IDFC First Bank,Financial Services
BANDHANBNK,Bandhan Bank,Financial Services
AUBANK,AU Small Finance Bank,Financial Services
PFC,Power Finance Corporation,Financial Services
RECLTD,REC,Financial Services
SBICARD,SBI Cards & Payment Services,Financial Services
LICHSGFIN,LIC Housing Finance,Financial Services
MFSL,Max Financial Services,Financial Services
GMRAIRPORT,GMR Airports,Services
NHPC,NHPC,Power
SJVN,SJVN,Power
TATACOMM,Tata Communications,Telecommunication
IDEA,Vodafone Idea,Telecommunication
INDUSTOWER,Indus Towers,Telecommunication
NMDC,NMDC,Metals & Mining
SAIL,Steel Authority of India,Metals & Mining
JINDALSTEL,Jindal Steel & Power,Metals & Mining
NATIONALUM,National Aluminium Company,Metals & Mining
HINDZINC,Hindustan Zinc,Metals & Mining
UBL,United Breweries,Fast Moving Consumer Goods
RADICO,Radico Khaitan,Fast Moving Consumer Goods
VBL,Varun Beverages,Fast Moving Consumer Goods
EMAMILTD,Emami,Fast Moving Consumer Goods
TATACONSUM,Tata Consumer Products,Fast Moving Consumer Goods
PATANJALI,Patanjali Foods,Fast Moving Consumer Goods
BERGEPAINT,Berger Paints India,Consumer Durables
KAJARIACER,Kajaria Ceramics,Consumer Durables
WHIRLPOOL,Whirlpool of India,Consumer Durables
AARTIIND,Aarti Industries,Chemicals
DEEPAKNTR,Deepak Nitrite,Chemicals
NAVINFLUOR,Navin Fluorine International,Chemicals
TATACHEM,Tata Chemicals,Chemicals
GNFC,Gujarat Narmada Valley Fertilizers,Chemicals
COROMANDEL,Coromandel International,Chemicals
GUJGASLTD,Gujarat Gas,Oil Gas & Consumable Fuels
PETRONET,Petronet LNG,Oil Gas & Consumable Fuels
IGL,Indraprastha Gas,Oil Gas & Consumable Fuels
MGL,Mahanagar Gas,Oil Gas & Consumable Fuels
IOC,Indian Oil Corporation,Oil Gas & Consumable Fuels
HINDPETRO,Hindustan Petroleum Corporation,Oil Gas & Consumable Fuels
OIL,Oil India,Oil Gas & Consumable Fuels
PRESTIGE,Prestige Estates Projects,Realty
PHOENIXLTD,Phoenix Mills,Realty
LODHA,Macrotech Developers,Realty
BRIGADE,Brigade Enterprises,Realty
SIGNATURE,Signatureglobal India,Realty
IRB,IRB Infrastructure Developers,Construction
KEC,KEC International,Capital Goods
THERMAX,Thermax,Capital Goods
BHEL,Bharat Heavy Electricals,Capital Goods
HAL,Hindustan Aeronautics,Capital Goods
MAZDOCK,Mazagon Dock Shipbuilders,Capital Goods
COCHINSHIP,Cochin Shipyard,Capital Goods
BDL,Bharat Dynamics,Capital Goods
GRSE,Garden Reach Shipbuilders & Engineers,Capital Goods
RVNL,Rail Vikas Nigam,Construction
IRFC,Indian Railway Finance Corporation,Financial Services
RITES,RITES,Construction
NBCC,NBCC (India),Construction
NCC,NCC,Construction
KPRMILL,K.P.R. Mill,Textiles
TRIDENT,Trident,Textiles
WELCORP,Welspun Corp,Capital Goods
JKCEMENT,JK Cement,Construction Materials
RAMCOCEM,The Ramco Cements,Construction Materials
DALBHARAT,Dalmia Bharat,Construction Materials
ACC,ACC,Construction Materials
SHREECEM,Shree Cement,Construction Materials
CGPOWER,CG Power and Industrial Solutions,Capital Goods
HITACHIENE,Hitachi Energy India,Capital Goods
APLAPOLLO,APL Apollo Tubes,Capital Goods
FINCABLES,Finolex Cables,Capital Goods
FINPIPE,Finolex Industries,Capital Goods
GLAND,Gland Pharma,Healthcare
SYNGENE,Syngene International,Healthcare
METROPOLIS,Metropolis Healthcare,Healthcare
LALPATHLAB,Dr. Lal PathLabs,Healthcare
MAXHEALTH,Max Healthcare Institute,Healthcare
FORTIS,Fortis Healthcare,Healthcare
NARAYANHRU,Narayana Hrudayalaya,Healthcare
POLICYBZR,PB Fintech,Financial Services
PAYTM,One97 Communications (Paytm),Financial Services
ANGELONE,Angel One,Financial Services
CDSL,Central Depository Services,Financial Services
BSE,BSE,Financial Services
MCX,Multi Commodity Exchange of India,Financial Services
CAMS,Computer Age Management Services,Financial Services
KFINTECH,KFin Technologies,Financial Services
360ONE,360 ONE WAM,Financial Services
JIOFIN,Jio Financial Services,Financial Services
POONAWALLA,Poonawalla Fincorp,Financial Services
MANAPPURAM,Manappuram Finance,Financial Services
PEL,Piramal Enterprises,Financial Services
SUZLON,Suzlon Energy,Capital Goods
INOXWIND,Inox Wind,Capital Goods
KPITTECH,KPIT Technologies,Information Technology
